date,value
1951-04-05,122.0000
1951-04-06,122.1000
1951-04-09,121.6400
1951-04-10,122.1600
1951-04-11,122.0700
1951-04-12,119.4000
1951-04-13,117.5400
1951-04-16,119.0300
1951-04-17,119.2200
1951-04-18,121.0200
1951-04-19,122.8700
1951-04-20,121.9400
1951-04-23,121.0000
1951-04-24,122.4100
1951-04-25,123.0200
1951-04-26,122.8100
1951-04-27,121.5000
1951-04-30,120.8200
1951-05-01,121.1100
1951-05-02,122.7100
1951-05-04,123.2000
1951-05-07,123.7100
1951-05-08,124.5400
1951-05-09,124.4900
1951-05-10,124.1700
1951-05-11,123.6700
1951-05-14,123.6300
1951-05-15,123.1900
1951-05-16,123.7300
1951-05-17,123.9800
1951-05-18,124.6600
1951-05-21,125.9500
1951-05-22,126.3200
1951-05-23,126.2200
1951-05-24,125.1100
1951-05-25,125.4000
1951-05-28,126.0800
1951-05-29,125.5300
1951-05-30,125.7100
1951-05-31,127.2300
1951-06-01,127.3200
1951-06-04,129.3400
1951-06-05,132.4700
1951-06-06,132.0800
1951-06-07,131.4600
1951-06-08,132.5500
1951-06-11,135.1400
1951-06-12,134.9500
1951-06-13,135.7100
1951-06-14,136.2900
1951-06-15,136.4200
1951-06-18,134.1300
1951-06-19,132.3600
1951-06-20,132.8600
1951-06-21,133.1400
1951-06-22,133.6500
1951-06-25,132.7300
1951-06-26,131.4500
1951-06-27,130.3000
1951-06-28,130.5900
1951-06-29,130.7300
1951-07-02,126.2200
1951-07-03,124.4800
1951-07-04,127.9300
1951-07-05,128.5000
1951-07-06,127.9400
1951-07-09,127.5200
1951-07-10,127.2000
1951-07-11,128.0000
1951-07-12,127.7000
1951-07-13,128.3300
1951-07-16,129.9100
1951-07-17,130.6300
1951-07-18,132.4600
1951-07-19,133.2300
1951-07-20,132.9100
1951-07-23,132.2900
1951-07-24,132.0800
1951-07-25,132.9900
1951-07-26,132.9800
1951-07-27,133.0100
1951-07-30,134.2500
1951-07-31,135.8900
1951-08-01,136.2300
1951-08-02,137.7200
1951-08-03,139.4400
1951-08-06,140.6900
1951-08-07,138.3400
1951-08-08,137.7600
1951-08-09,137.7500
1951-08-10,137.1400
1951-08-13,137.8500
1951-08-14,137.4500
1951-08-15,137.2100
1951-08-16,137.0900
1951-08-17,137.3800
1951-08-20,137.4600
1951-08-21,138.0400
1951-08-22,139.3100
1951-08-23,140.8100
1951-08-24,140.1400
1951-08-27,142.8200
1951-08-28,143.2900
1951-08-29,143.1400
1951-08-30,144.0400
1951-08-31,145.3000
1951-09-03,146.4200
1951-09-04,144.6800
1951-09-05,144.4600
1951-09-06,144.6000
1951-09-07,145.4900
1951-09-10,145.9900
1951-09-11,146.1500
1951-09-12,146.3900
1951-09-13,146.0800
1951-09-14,146.7200
1951-09-17,145.4300
1951-09-18,143.6100
1951-09-19,144.3300
1951-09-20,145.5600
1951-09-21,146.3700
1951-09-25,153.0600
1951-09-26,152.7000
1951-09-27,151.6900
1951-09-28,153.0000
1951-10-01,154.0700
1951-10-02,154.7000
1951-10-03,157.8700
1951-10-04,161.1200
1951-10-05,162.7300
1951-10-08,157.2700
1951-10-09,157.2300
1951-10-10,159.8900
1951-10-11,159.2300
1951-10-12,159.2500
1951-10-15,160.9600
1951-10-16,161.0400
1951-10-17,162.9000
1951-10-18,162.1300
1951-10-19,164.2500
1951-10-22,165.7100
1951-10-23,164.8700
1951-10-24,165.4500
1951-10-25,168.6300
1951-10-26,168.8700
1951-10-29,165.6300
1951-10-30,164.8000
1951-10-31,165.0900
1951-11-01,165.1700
1951-11-02,163.0700
1951-11-05,160.0600
1951-11-06,159.6800
1951-11-07,159.6700
1951-11-08,159.1900
1951-11-09,161.4700
1951-11-12,162.2300
1951-11-13,162.9200
1951-11-14,162.7900
1951-11-15,162.0800
1951-11-16,162.3700
1951-11-19,161.6400
1951-11-20,159.4500
1951-11-21,157.2600
1951-11-22,155.6900
1951-11-26,153.5900
1951-11-27,156.0400
1951-11-28,155.4800
1951-11-29,156.3500
1951-11-30,157.3500
1951-12-03,159.9300
1951-12-04,159.2900
1951-12-05,159.4500
1951-12-06,159.3800
1951-12-07,160.0700
1951-12-10,160.9700
1951-12-11,159.5900
1951-12-12,158.8200
1951-12-13,158.8600
1951-12-14,158.8500
1951-12-17,158.4200
1951-12-18,157.0600
1951-12-19,157.5600
1951-12-20,158.8000
1951-12-21,160.0300
1951-12-24,160.5500
1951-12-25,161.1800
1951-12-26,162.3100
1951-12-27,163.9800
1951-12-28,166.0600
1952-01-04,167.8000
1952-01-07,168.6400
1952-01-08,168.7000
1952-01-09,170.7300
1952-01-10,173.6700
1952-01-11,174.8500
1952-01-14,177.3700
